,County,2016TotalSales
0,Fremont,130930.55
1,Davis,193315.74
2,Adams,190990.49
3,Wayne,209433.77
4,Keokuk,201962.03
5,Taylor,222520.47
6,Ringgold,227427.37
7,Audubon,243247.57
8,Decatur,257357.1
9,Van Buren,268070.02
10,Louisa,332610.22
11,Franklin,317596.6
12,Osceola,333281.13
13,Guthrie,318568.97
14,Monroe,370083.6
15,Hancock,381493.21
16,Worth,321613.25
17,Butler,347201.93
18,Chickasaw,440145.83
19,Harrison,376111.88
20,Pocahontas,387077.36
21,Grundy,417391.16
22,Calhoun,480128.69
23,Howard,510923.52
24,Lucas,481371.37
25,Adair,495098.47
26,Mitchell,512639.14
27,Mills,587821.26
28,Clarke,519123.89
29,Shelby,559019.02
30,Cedar,583557.27
31,Sac,619135.95
32,Emmet,669693.55
33,Monona,667941.19
34,Greene,654755.94
35,Ida,679145.78
36,Wright,680407.1
37,Humboldt,674245.85
38,Montgomery,673249.76
39,Clayton,700074.62
40,Palo Alto,695449.39
41,Tama,710404.28
42,Cherokee,718108.04
43,Winnebago,768182.56
44,Lyon,768664.83
45,Madison,849995.63
46,Benton,909385.73
47,Appanoose,881879.49
48,Hamilton,857620.52
49,Allamakee,828075.14
50,Page,936901.32
51,Jones,948041.27
52,Jefferson,1001725.83
53,Mahaska,1069742.02
54,Delaware,1031383.33
55,Union,1146298.02
56,Iowa,1056677.99
57,Henry,1145036.95
58,O'Brien,1191598.64
59,Cass,1256551.84
60,Crawford,1242541.07
61,Buchanan,1171958.96
62,Winneshiek,1333244.56
63,Jackson,1346859.84
64,Poweshiek,1303268.94
65,Floyd,1279488.98
66,Fayette,1310431.84
67,Kossuth,1417139.64
68,Sioux,1566399.9
69,Clay,1482604.46
70,Plymouth,1516737.14
71,Washington,1542282.63
72,Bremer,1728409.26
73,Buena Vista,1741223.07
74,Jasper,1639760.46
75,Hardin,1772401.77
76,Boone,1774155.37
77,Marion,1736467.77
78,Warren,2132480.53
79,Carroll,2312800.41
80,Wapello,2625987.95
81,Dickinson,2807371.27
82,Muscatine,3130386.22
83,Clinton,3105839.02
84,Marshall,3104908.58
85,Lee,3165625.96
86,Webster,3947167.2
87,Des Moines,3962202.75
88,Dallas,4571239.46
89,Cerro Gordo,4984343.89
90,Dubuque,8549635.32
91,Story,8838663.35
92,Woodbury,9829830.12
93,Pottawattamie,10706319.81
94,Black Hawk,16237243.04
95,Johnson,17428930.44
96,Scott,20708252.18
97,Linn,25311227.18
98,Polk,64201108.05
